title,rating,year
The Mirror,7.3,1974
American made,7.3,2017
Mission: Impossible III,7.3,2006
Bajo terapia,7.3,2023
Aquaman and the Lost Kingdom,7.3,2023
Pathaan,7.3,2023
How to Steal a Million,7.3,1966
Christopher Robin,7.3,2018
Dinosaur,7.3,2000
Due Date,7.3,2010
"Abrazos rotos, Los / Broken embraces",7.3,2009
Bacalaureat,7.3,2016
The Ugly Truth,7.3,2009
Cars 3,7.3,2017
Judas and the Black Messiah,7.3,2021
Secret Window,7.3,2004
The Lincoln Lawyer,7.3,2011
Tenet,7.3,2020
Armageddon,7.3,1998
Body of Lies,7.3,2008
Cloverfield,7.3,2008
Devil Wears Prada,7.3,2006
Uncharted,7.3,2022
Den of Thieves,7.3,2018
99 Francs,7.3,2007
Black Adam,7.3,2022
Valkyrie,7.3,2008
Unknown,7.3,2011
Scream 6,7.3,2023
Bumblebee,7.3,2018
Spider-Man: Into The Spider-Verse,8.3,2018
Catch Me If You Can,8.3,2002
The Departed,8.3,2006
Okhota na tigra,8.3,1980
Aliens,8.4,1986
Shutter Island,8.4,2009
Voditel-oligarkh,8.4,2024
Cast Away,8.3,2000
The Prestige,8.4,2006
Avatar,8.4,2009
A Beautiful Mind,8.4,2001
Taylor Swift: The Eras Tour,8.4,2023
The Dark Knight Rises,8.4,2012
Raiders Of The Lost Ark,8.4,1981
Spy x Family: The Movie,8.4,2023
,8.4,1973
Alien,8.4,1979
Kimetsu no Yaiba: Mugen Ressha-Hen,8.4,2020
Django Unchained,8.4,2012
Green Book,8.4,2018
,8.4,1968
Se7en,8.4,1995
Ford vs. Ferrari,8.5,2019
Interstellar,8.5,2014
,8.5,1971
Braveheart,8.5,1995
BTS: Love Yourself Tour in Seoul,8.5,2018
Pirates of the Caribbean: The Curse of the Black Pearl,8.5,2003
Avengers: Endgame,8.5,2019
WALL·E,8.5,2008
Puss in Boots: The Last Wish,8.5,2022
Kimi no na wa,8.5,2016
Hachiko: A Dog's Story,8.5,2009
Gekijôban Haikyu!! Gomi Suteba no Kessen,8.5,2024
,8.5,2024
,8.5,1979
Avengers: Infinity War,8.5,2018
Hauru no ugoku shiro / Howl's Moving Castle,8.5,2004
Gladiator,8.6,2000
Coco,8.5,2017
Back to the Future,8.6,1985
Stargazer: Astroscope,8.5,2023
The Godfather: Part II,8.6,1974
Inside Out 2,8.6,2024
Spider-Man: No Way Home,8.6,2021
The Silence of the Lambs,8.6,1991
Guardians of the Galaxy Vol. 3,8.6,2023
,8.6,1969
Léon / Leon,8.6,1994
BTS: Yet to Come in Cinemas,8.6,2023
Schindler's List,8.6,1993
Zack Snyder's Justice League,8.6,2021
Fight Club,8.6,1999
The Matrix,8.6,1999
The Lord of the Rings: The Return of the King,8.6,2003
The Lion King,8.7,1994
Oppenheimer,8.7,2023
Terminator Ii: Judgment Day,8.7,1991
Batman Begins,8.7,2005
Forrest Gump,8.7,1994
Pulp Fiction,8.7,1994
The Lord of the Rings: The Two Towers,8.7,2002
Sen to Chihiro no kamikakushi / Spirited Away,8.7,2001
Intouchables,8.7,2011
The Dark Knight,8.7,2008
Inception,8.8,2010
The Godfather,8.8,1972
My SHINee World,8.9,2023
Dune: Part Two,8.8,2024
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
The Green Mile,8.8,1999
SUGA: Road to D-DAY,8.9,2023
Spider-Man: Across the Spider-Verse,8.8,2022
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,9.0,2024
The Shawshank Redemption,9.1,1994
Бейиш-эненин таманында,9.0,2024
